"current_seed","Nsamp","nullpi","poisthin","pi0hat_ols","pi0hat_biash_ols","pi0hat_biash_voom","pi0hat_ols_ash","pi0hat_succotash","pi0hat_cate_rr","pi0hat_sva_ols","pi0hat_ruvash","pi0hat_cate_nc","pi0hat_ruv2","pi0hat_ruv4"
1,5,0.5,TRUE,0.629860601697795,0.49729958247403,0.508207989699771,0.457917083465865,0.52591614701288,0.737449788675558,0.809570219182803,0.593585516305154,0.672811366242845,0.879837798303924,0.883475418428371
2,5,0.5,TRUE,0.464850201356158,0.539652486607961,0.565375309665152,0.424346023293919,0.587842543216693,0.590442106207511,0.842811354236369,0.639729124364722,0.625374426217357,0.750045873707253,0.885313332486959
3,5,0.5,TRUE,0.843285287932249,0.556133830614267,0.537386624610049,0.549308608875548,0.265144595683035,0.400234609311887,0.507021537123751,0.612955933299687,0.504308396584041,0.529800738553893,0.477043975859015
4,5,0.5,TRUE,0.688448417508098,0.534654838271936,0.521715887744098,0.399134531086268,0.502057888688392,0.633854063631945,0.804466307306084,0.580018696611521,0.58905499407829,0.759473715468948,0.768156476823477
5,5,0.5,TRUE,0.558279264078111,0.520688080699376,0.55477336248032,0.302787340685092,0.579616498419455,0.360575834126561,0.474939233712945,0.756299873432677,0.465050022149987,0.746221464125414,0.549064953943317
6,5,0.5,TRUE,1,0.717921562454929,0.556680000387915,0.797600195744152,0.435157520750558,0.487057897854079,0.670025047504726,0.621118877438294,0.497869643844948,0.683749647595479,0.557438649914944
7,5,0.5,TRUE,0.622740853177257,0.526150868403757,0.526066855009695,0.392563590640589,0.531961055459738,0.327574713160241,0.707191625844727,0.689547119303972,0.453579919180311,0.534798075225164,0.568695616083471
8,5,0.5,TRUE,0.829659964146756,0.624376283485497,0.494378791159686,0.708731864990406,0.270238946514733,0.407056417704882,0.528672767142002,0.666492778663087,0.479962435315099,0.64393682396745,0.477358211211151
9,5,0.5,TRUE,0.867702772964327,0.571797539448146,0.538898942612059,0.609772535938178,0.538936485723963,0.650265676792305,0.679477852984526,0.620045809455177,0.615312140802413,0.807763622547151,0.632176878884424
10,5,0.5,TRUE,1,0.649031634902836,0.567937760974755,0.736701265635219,0.526743095725463,0.380250565276961,0.597246865675414,0.586962618834332,0.551718139820861,0.73407409045571,0.719454366953355
11,5,0.5,TRUE,0.846578397346975,0.620225151179386,0.55113867347024,0.709386039010248,0.588737015929211,0.426009853281918,0.614622055638436,0.709724274799961,0.45542408718845,0.533172063923588,0.591788085099678
12,5,0.5,TRUE,0.771849295120398,0.57307990790606,0.511178690686567,0.657602289199219,0.598867497440817,0.46359821397483,0.53434394289326,0.638270226999005,0.466081796599272,0.587430096612987,0.569618777163525
13,5,0.5,TRUE,0.924435461777752,0.572257937864191,0.556664724019245,0.579577022424265,0.484285328571214,0.417939723181036,0.626441861999508,0.6395635616508,0.425248005046295,0.697796105427316,0.568322917898464
14,5,0.5,TRUE,0.691439521631367,0.445313085560483,0.490692141418678,0.230207005164422,0.464680884909859,0.508442256195843,0.832877503346232,0.649075703668763,0.555333027898365,0.787339573839663,0.685756224688011
15,5,0.5,TRUE,0.747793968837956,0.567325301175563,0.523594687236531,0.556800545862609,0.52265768467641,0.356990994584939,0.452618796963578,0.682824213770237,0.402923738422228,0.564711030402028,0.588402325318634
16,5,0.5,TRUE,0.509048436597446,0.511715395549614,0.480071213937854,0.317271116676859,0.497697466996122,0.543060818856858,0.709885458071042,0.634616176435067,0.546270670137711,0.69374474828223,0.706913810110081
17,5,0.5,TRUE,0.434232371302557,0.547579605038811,0.531888955968611,0.255498865992295,0.608150711255274,0.306017165481576,0.49351523560873,0.703252652673858,0.320658906382854,0.617974882100143,0.411059776238656
18,5,0.5,TRUE,0.419144557830306,0.486228467188018,0.528216357503866,0.111317026596467,0.45627699980002,0.441279864111795,0.599297229530909,0.540148870601282,0.351887675857806,0.559162748073743,0.6485932779292
