"current_seed","Nsamp","nullpi","poisthin","mse_ols","mse_biash_ols","mse_biash_voom","mse_ols_ash","mse_succotash","mse_cate_rr","mse_sva_ols","mse_ruvash","mse_cate_nc","mse_ruv2","mse_ruv4"
1,5,0.5,TRUE,0.27151160553592,0.161804960167334,0.165742463313223,0.170127676241381,0.118743205627097,0.163445009421294,0.202786990567869,0.122258381733527,0.167784001928059,0.16440284538596,0.165456893576084
2,5,0.5,TRUE,0.284080469939965,0.207332352914076,0.107196362332926,0.216582237749707,0.131126693986839,0.143957798229157,0.144394944087049,0.120377340154424,0.14611569491789,0.143743392267281,0.148692216669697
3,5,0.5,TRUE,0.168941150803986,0.133425838874449,0.121642405199479,0.14550726942298,0.107538268102456,0.155267608985974,0.153451093388278,0.176893998922738,0.157751504584177,0.159304522218696,0.152218173746119
4,5,0.5,TRUE,0.18690641710647,0.129487609099414,0.102478697670278,0.134850499954414,0.0867756683699363,0.13424101748666,0.138757629603435,0.0935191514875015,0.146826711046141,0.137463413942025,0.132954952892695
5,5,0.5,TRUE,0.452664905804121,0.263676901362375,0.252448739846586,0.264135082257039,0.248841084306877,0.351459020518046,0.366418239555509,0.321827127958545,0.361505881530265,0.410614241767849,0.356784893553409
6,5,0.5,TRUE,0.160539608546785,0.177053444694195,0.117179352225943,0.210664429478938,0.104940208392133,0.147263365757945,0.147078656042665,0.170605764049417,0.153998885425293,0.156562506896248,0.150265010039513
7,5,0.5,TRUE,0.163196711904079,0.122809884424719,0.10011450167487,0.129142780502503,0.130882753210253,0.136000320393491,0.135534434848332,0.208989818205981,0.138734708747713,0.177693278844147,0.146642462523128
8,5,0.5,TRUE,0.234671765182212,0.171944742470488,0.180397249406117,0.196490095940274,0.160536980478834,0.229528814915106,0.247647808819488,0.281616958173485,0.28279213793583,0.228060666763705,0.229120456282515
9,5,0.5,TRUE,0.160419991239171,0.113916745851985,0.111609797079148,0.126542519469271,0.134685087687025,0.153365487440154,0.155611781560131,0.149373486520986,0.167208631824162,0.157883770807703,0.154562688268683
10,5,0.5,TRUE,0.0893834084406967,0.127727351822949,0.0902903066674615,0.160925787404849,0.0733617436592653,0.087824862044283,0.0912639307629494,0.0823547644415615,0.0958122577140106,0.104809642169965,0.100049251254783
11,5,0.5,TRUE,0.234066473423122,0.136919789360733,0.131192116699529,0.151542463578396,0.136941048912714,0.189663715694753,0.212805169783028,0.185494930222832,0.18641750758463,0.202513178679943,0.207381716034397
12,5,0.5,TRUE,0.306107210388129,0.15230968823547,0.174578509949327,0.156397978729131,0.104993132720476,0.157674808944378,0.157530308637731,0.112936731865354,0.158731755688472,0.174325966512749,0.16015948408657
13,5,0.5,TRUE,0.17146703984213,0.143071546196013,0.15958085412092,0.159755567850831,0.157288306285424,0.154156792148334,0.15460083875322,0.201319273757292,0.165017500128087,0.162239948678892,0.152755165924003
14,5,0.5,TRUE,0.230493493808234,0.165999126837905,0.116579857068134,0.169372964806198,0.102058791352727,0.11722420472645,0.136385111055259,0.172975715152319,0.116853259121808,0.122597133631609,0.117776074669119
15,5,0.5,TRUE,0.418794260869368,0.193020423195784,0.173927416527988,0.201792288498731,0.16441941112445,0.178648866384132,0.196760722979472,0.224127118503757,0.179545033237811,0.186973536930117,0.179108105332226
16,5,0.5,TRUE,0.24063798969735,0.139476720767512,0.12346770868836,0.140225117036822,0.112007152065844,0.130649833765745,0.149774183371639,0.140036001357631,0.130363549844757,0.146326670611524,0.131786015399278
17,5,0.5,TRUE,0.386883089152256,0.207003051882463,0.200903025879711,0.212022607399981,0.239558382025745,0.276176106003283,0.27938803717188,0.266401649557722,0.297726301922907,0.294113206203602,0.27648370473248
18,5,0.5,TRUE,0.446461327424608,0.255232053716305,0.142685864851519,0.275315296536121,0.141363778053356,0.17461472720925,0.175536371728146,0.173155931032933,0.175015741477983,0.1847070268668,0.179882371011691
19,5,0.5,TRUE,0.919977433951854,0.329839471848393,0.293224922798412,0.437200317514502,0.233883506439296,0.58617335161684,0.884418716893129,0.234109015838197,0.588361039764336,0.581322903356779,0.581287090499575
20,5,0.5,TRUE,0.212181125021711,0.152402757399801,0.0987254948090338,0.172411268380092,0.11655579428928,0.145767215185082,0.147964918411514,0.132463265074283,0.151521141518253,0.145995769068959,0.145990181672832
21,5,0.5,TRUE,0.130125130614384,0.120136546786722,0.13146995229285,0.139229020385496,0.120489323481035,0.117228033049788,0.119222394201714,0.146891542693675,0.121140363044822,0.116354869277954,0.113710036999753
22,5,0.5,TRUE,0.331878119595644,0.187353076551027,0.184509934500838,0.189467654766272,0.14132434518141,0.16498045730878,0.184029122183301,0.198074230851004,0.176929982269049,0.225849785353152,0.184359857229424
23,5,0.5,TRUE,0.279930256873588,0.185163342252523,0.133781905262036,0.189467684831935,0.125467964006459,0.102471710603764,0.107595049513104,0.154800604361323,0.108976068411728,0.0992143893098852,0.103455938901289
24,5,0.5,TRUE,0.504134757373541,0.246210332130731,0.231691020880236,0.262568537637898,0.161289259412481,0.162709109641393,0.181715631879341,0.152208117303593,0.168898527869081,0.151797488654209,0.16675645435638
25,5,0.5,TRUE,0.204695486607636,0.115511418271875,0.0988572875036477,0.116222864493932,0.0897430932082682,0.126324245537659,0.139219273935104,0.112665646636493,0.131602142087911,0.129072129198946,0.135453518068175
26,5,0.5,TRUE,0.312278269397277,0.185388006525702,0.186625516855126,0.191011370463965,0.247144800486551,0.247662541540448,0.24598878039115,0.243774283252389,0.249674971932968,0.242239953159455,0.255128811048154
27,5,0.5,TRUE,0.337217313557316,0.162197112213662,0.174284807593348,0.161031471021961,0.0831396516061934,0.140290705217554,0.14697104846868,0.103415862981181,0.141108505758059,0.142820059660558,0.141446595049005
28,5,0.5,TRUE,0.284656248349358,0.144405488500903,0.153697311232572,0.142608505045032,0.1166793457012,0.16133640467896,0.162589611264583,0.16484534007792,0.162905057731283,0.167217178114801,0.16488195252182
29,5,0.5,TRUE,0.299735869087936,0.193538341066821,0.149710762525694,0.19626436050337,0.163011382351079,0.234783587948953,0.241450037575513,0.161563853979325,0.265596238053649,0.24897794859391,0.239037878628579
