"current_seed","Nsamp","nullpi","poisthin","auc_ols","auc_biash_ols","auc_biash_voom","auc_ols_ash","auc_succotash","auc_cate_rr","auc_sva_ols","auc_ruvash","auc_cate_nc","auc_ruv2","auc_ruv4"
40,5,0.5,TRUE,0.63956,0.676152,0.785184,0.655608,0.75708,0.6986,0.671792,0.755072,0.721944,0.724384,0.712496
41,5,0.5,TRUE,0.735832,0.762848,0.773392,0.761296,0.807752,0.77774,0.771768,0.808952,0.780068,0.775128,0.778016
42,5,0.5,TRUE,0.624456,0.631808,0.809552,0.614456,0.793328,0.777552,0.727568,0.787936,0.79126,0.78936,0.790376
43,5,0.5,TRUE,0.75152,0.765376,0.773416,0.763776,0.790544,0.774632,0.77504,0.782544,0.772116,0.778384,0.775424
44,5,0.5,TRUE,0.684088,0.770632,0.7804,0.766552,0.773608,0.747788,0.746744,0.767944,0.74982,0.727556,0.737972
45,5,0.5,TRUE,0.679128,0.716648,0.763896,0.713368,0.76032,0.754176,0.756808,0.763832,0.760888,0.754752,0.757896
46,5,0.5,TRUE,0.737616,0.785432,0.819488,0.78512,0.820568,0.800824,0.803512,0.8162,0.80516,0.801948,0.80632
47,5,0.5,TRUE,0.708048,0.729768,0.814912,0.729528,0.834256,0.802776,0.810332,0.83476,0.80682,0.813648,0.815272
48,5,0.5,TRUE,0.631928,0.649248,0.781896,0.626072,0.748584,0.707388,0.693048,0.747496,0.740292,0.748656,0.712824
49,5,0.5,TRUE,0.713024,0.733896,0.780368,0.72252,0.77668,0.728888,0.723592,0.779256,0.74138,0.74596,0.731328
50,5,0.5,TRUE,0.570264,0.581024,0.754808,0.55372,0.712888,0.672556,0.675332,0.718944,0.707076,0.720368,0.669912
51,5,0.5,TRUE,0.77796,0.789496,0.829384,0.789288,0.825464,0.818156,0.76112,0.824504,0.80328,0.7737,0.785672
52,5,0.5,TRUE,0.708528,0.828328,0.835472,0.826032,0.847928,0.830464,0.779228,0.845264,0.830808,0.8042,0.803648
53,5,0.5,TRUE,0.754672,0.764936,0.808288,0.764472,0.815024,0.785408,0.788056,0.809464,0.786928,0.788376,0.7756
54,5,0.5,TRUE,0.692924,0.703072,0.75852,0.702464,0.772616,0.74452,0.749676,0.770144,0.749056,0.74906,0.744792
55,5,0.5,TRUE,0.689976,0.829312,0.850512,0.828456,0.853528,0.802268,0.790324,0.853304,0.813544,0.803632,0.800552
56,5,0.5,TRUE,0.773516,0.792472,0.846048,0.792344,0.842744,0.802024,0.804912,0.83644,0.819352,0.795464,0.804076
57,5,0.5,TRUE,0.726416,0.769064,0.763384,0.769864,0.808856,0.771812,0.783056,0.814288,0.774392,0.781264,0.779584
58,5,0.5,TRUE,0.761288,0.773712,0.789464,0.772776,0.76728,0.731544,0.73568,0.763856,0.757352,0.715404,0.742976
59,5,0.5,TRUE,0.761204,0.783784,0.780008,0.78244,0.772376,0.750448,0.748772,0.775256,0.745364,0.739,0.741852
60,5,0.5,TRUE,0.741208,0.75864,0.762176,0.758176,0.757712,0.740964,0.742192,0.758808,0.745744,0.754312,0.743144
61,5,0.5,TRUE,0.725984,0.752288,0.842424,0.738216,0.80648,0.791368,0.790732,0.801352,0.787728,0.808528,0.785016
62,5,0.5,TRUE,0.686856,0.814296,0.811312,0.812768,0.809984,0.787056,0.787152,0.805096,0.786584,0.781656,0.783824
63,5,0.5,TRUE,0.7446,0.760424,0.81944,0.758664,0.803296,0.767,0.776096,0.796088,0.770744,0.77702,0.767556
64,5,0.5,TRUE,0.672184,0.6844,0.806424,0.676096,0.793968,0.754264,0.736008,0.78916,0.754264,0.761192,0.756884
65,5,0.5,TRUE,0.66436,0.77276,0.772688,0.77212,0.774968,0.776312,0.763528,0.775968,0.774328,0.760656,0.75936
66,5,0.5,TRUE,0.728492,0.747472,0.795552,0.747024,0.823952,0.795472,0.766968,0.821864,0.80008,0.77066,0.767384
67,5,0.5,TRUE,0.69128,0.707904,0.82828,0.699624,0.835832,0.79358,0.798704,0.835048,0.803304,0.75696,0.78864
68,5,0.5,TRUE,0.700592,0.817568,0.83396,0.816312,0.825504,0.812152,0.80684,0.819608,0.809156,0.812204,0.810152
69,5,0.5,TRUE,0.749116,0.757576,0.809024,0.75732,0.79716,0.789432,0.782448,0.79128,0.803344,0.791988,0.791816
70,5,0.5,TRUE,0.750772,0.7748,0.787616,0.77536,0.799552,0.750584,0.743304,0.798928,0.747048,0.730808,0.747712
71,5,0.5,TRUE,0.664312,0.68916,0.83008,0.660528,0.68336,0.656976,0.665048,0.70048,0.68098,0.665752,0.66352
72,5,0.5,TRUE,0.712992,0.749872,0.758064,0.743408,0.779528,0.724464,0.734536,0.777936,0.734572,0.740724,0.732872
73,5,0.5,TRUE,0.66264,0.682816,0.836744,0.669568,0.852344,0.813196,0.823008,0.847704,0.830284,0.820792,0.818296
74,5,0.5,TRUE,0.673,0.836552,0.850736,0.833584,0.859088,0.831812,0.826624,0.858904,0.837808,0.815456,0.81948
75,5,0.5,TRUE,0.73328,0.781424,0.815256,0.780552,0.846016,0.823584,0.808008,0.841504,0.828116,0.786564,0.817904
76,5,0.5,TRUE,0.726996,0.731488,0.77448,0.728776,0.757096,0.741704,0.724668,0.744912,0.745384,0.73194,0.742952
77,5,0.5,TRUE,0.75796,0.785808,0.793784,0.785784,0.871416,0.836584,0.8114,0.865824,0.854496,0.7852,0.804688
78,5,0.5,TRUE,0.747504,0.769376,0.782384,0.769784,0.824184,0.794376,0.787496,0.822456,0.786904,0.804416,0.787508
79,5,0.5,TRUE,0.582088,0.580552,0.71944,0.573656,0.694352,0.682796,0.685528,0.708872,0.68042,0.677512,0.67198
80,5,0.5,TRUE,0.71784,0.748696,0.752488,0.747752,0.758104,0.718392,0.69324,0.759216,0.737288,0.719696,0.722568
81,5,0.5,TRUE,0.722308,0.737352,0.7774,0.733056,0.801672,0.806184,0.773536,0.801888,0.79902,0.763656,0.78632
82,5,0.5,TRUE,0.712696,0.781704,0.786824,0.781536,0.808288,0.773628,0.758464,0.805456,0.784604,0.754792,0.758792
83,5,0.5,TRUE,0.712344,0.836776,0.839648,0.835408,0.854168,0.836432,0.831752,0.848744,0.835064,0.825048,0.81108
84,5,0.5,TRUE,0.607672,0.664976,0.843,0.611728,0.633864,0.6196,0.630156,0.664024,0.618496,0.647204,0.619848
